Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
12,13.52,32.94,6.01,0.41,0.13,0.36,2.0,0.01,0.0,0.0
20,13.48,32.941,6.01,0.39,0.14,0.37,2.0,0.02,0.1,0.02
29,12.56,32.873,6.05,0.45,0.17,0.49,3.1,0.11,1.6,0.12
30,12.23,32.808,6.07,0.48,0.18,0.5,3.2,0.11,1.7,0.12
36,12.25,32.822,6.17,0.61,0.21,0.51,3.6,0.08,2.0,0.09
42,12.06,32.805,6.18,0.57,0.22,0.52,3.9,0.09,2.4,0.09
50,11.99,32.813,6.14,0.45,0.2,0.57,4.1,0.12,3.0,0.14
57,11.91,32.822,6.12,0.39,0.2,0.59,4.3,0.13,3.3,0.16
70,11.7,32.846,6.01,0.24,0.15,0.65,5.0,0.17,4.3,0.13
75,11.54,32.87,5.97,0.22,0.14,0.69,5.3,0.17,4.9,0.08
81,11.33,32.893,5.93,0.19,0.13,0.73,5.9,0.17,5.6,0.06
90,11.36,33.066,6.16,0.43,0.23,0.75,7.7,0.23,6.2,0.21
100,10.7,33.092,5.82,0.2,0.17,0.89,8.8,0.24,8.6,0.06
120,10.13,33.472,4.13,0.03,0.05,1.54,17.3,0.09,19.3,0.01
125,10.08,33.566,3.9,0.02,0.04,1.62,18.9,0.09,20.7,0.01
139,9.44,33.711,3.48,0.01,0.03,1.76,22.6,0.08,23.3,0.0
150,9.18,33.74,3.3,0.0,0.03,1.82,24.6,0.08,24.5,0.0
169,8.93,33.887,3.04,0.0,0.02,1.92,27.8,0.08,25.9,0.0
199,8.55,33.999,2.25,0.0,0.04,2.21,34.5,0.02,29.6,0.0
0,14.14,33.077,5.93,0.32,0.11,0.34,2.0,0.0,0.2,0.01
2,14.14,33.077,5.93,0.32,0.11,0.34,2.0,0.0,0.2,0.01
10,14.13,33.075,5.93,0.32,0.1,0.34,1.9,0.0,0.2,0.0
20,13.94,33.075,5.98,0.4,0.13,0.35,2.0,0.0,0.2,0.01
30,13.79,33.061,6.01,0.47,0.16,0.35,2.0,0.01,0.2,0.02
40,13.76,33.061,5.98,0.43,0.16,0.35,2.0,0.01,0.3,0.03
50,13.75,33.059,6.0,0.43,0.16,0.35,1.9,0.01,0.3,0.04
60,13.75,33.063,5.98,0.42,0.16,0.35,2.0,0.01,0.2,0.04
69,13.75,33.062,5.96,0.41,0.15,0.35,1.9,0.01,0.2,0.04
75,13.74,33.058,5.96,0.39,0.15,0.35,1.9,0.01,0.2,0.04
84,13.73,33.062,5.96,0.33,0.14,0.36,1.9,0.02,0.2,0.05
99,13.31,33.153,5.83,0.14,0.11,0.47,2.8,0.16,1.6,0.12
100,13.24,33.162,5.83,0.14,0.11,0.48,2.9,0.16,1.7,0.12
119,12.67,33.231,5.66,0.09,0.1,0.61,4.5,0.17,4.7,0.0
125,12.66,33.282,5.54,0.07,0.09,0.68,5.2,0.13,5.9,0.0
140,11.65,33.339,5.13,0.04,0.07,0.9,7.6,0.04,9.5,0.0
150,11.13,33.499,4.8,0.03,0.06,1.07,10.1,0.04,12.3,0.0
169,10.35,33.594,4.09,0.01,0.04,1.4,15.8,0.04,17.9,0.0
199,9.36,33.875,2.93,0.0,0.05,1.9,26.1,0.0,25.3,0.0
0,13.69,33.045,5.98,0.25,0.06,0.36,2.5,0.01,0.1,0.11
2,13.69,33.045,5.98,0.25,0.06,0.36,2.5,0.01,0.1,0.11
9,13.69,33.045,5.99,0.27,0.07,0.36,2.5,0.01,0.1,0.09
10,13.69,33.04,5.99,0.27,0.08,0.36,2.5,0.01,0.1,0.09
20,13.69,33.045,5.99,0.31,0.12,0.36,2.4,0.01,0.1,0.09
30,13.69,33.046,5.99,0.31,0.05,0.36,2.3,0.01,0.1,0.09
40,13.7,33.047,6.0,0.3,0.09,0.36,2.3,0.01,0.1,0.09
50,13.7,33.051,5.98,0.32,0.07,0.36,2.1,0.01,0.1,0.09
60,13.69,33.052,5.98,0.35,0.12,0.34,2.1,0.01,0.1,0.09
70,13.65,33.096,5.9,0.32,0.14,0.4,2.2,0.06,0.5,0.19
75,13.61,33.137,5.9,0.32,0.15,0.41,2.5,0.08,0.9,0.21
84,13.22,33.088,5.89,0.29,0.18,0.48,2.9,0.09,1.5,0.25
99,12.4,33.268,5.09,0.13,0.2,0.89,6.7,0.08,8.6,0.0
100,12.25,33.272,5.06,0.13,0.2,0.91,6.9,0.08,8.9,0.0
119,11.41,33.418,4.57,0.08,0.11,1.19,10.8,0.05,13.8,0.0
125,11.13,33.496,4.39,0.06,0.09,1.29,12.5,0.05,15.5,0.0
139,10.47,33.603,3.94,0.03,0.06,1.5,16.6,0.05,19.1,0.0
150,10.11,33.735,3.53,0.02,0.06,1.66,19.7,0.05,21.6,0.0
169,9.68,33.825,2.97,0.01,0.07,1.87,24.2,0.05,24.7,0.0
199,8.98,33.932,2.96,0.0,0.05,1.92,27.9,0.0,26.2,0.0
0,12.93,33.521,5.86,1.51,0.48,0.63,6.6,0.13,5.0,0.08
2,12.93,33.521,5.86,1.51,0.48,0.63,6.6,0.13,5.0,0.08
10,12.77,33.534,5.72,1.06,0.5,0.69,6.9,0.14,6.0,0.1
19,12.53,33.557,5.59,0.95,0.44,0.77,8.1,0.14,7.2,0.12
