Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
169,10.283,33.7705,3.011,0.01,0.054,1.72,22.88,0.017,21.39,0.01
200,9.224,33.9417,2.548,0.004,0.041,1.97,30.62,0.014,25.64,0.05
0,15.496,33.3404,5.727,0.266,0.09,0.34,2.04,0.017,0.07,0.16
2,15.496,33.3404,5.727,0.266,0.09,0.34,2.04,0.017,0.07,0.16
10,15.498,33.3426,5.684,0.27,0.092,0.32,2.01,0.01,0.1,0.0
11,15.493,33.3412,5.689,0.27,0.092,0.32,2.01,0.013,0.08,0.0
20,15.488,33.3424,5.682,0.269,0.096,0.33,2.02,0.01,0.1,0.0
21,15.482,33.342,5.69,0.269,0.096,0.33,2.02,0.012,0.08,0.03
30,15.479,33.3422,5.686,0.286,0.085,0.33,2.01,0.02,0.1,0.02
31,15.469,33.3405,5.691,0.288,0.084,0.33,2.01,0.017,0.06,0.02
40,15.427,33.3393,5.701,0.321,0.089,0.33,2.02,0.018,0.08,0.04
50,14.849,33.3323,5.766,0.362,0.204,0.37,2.07,0.03,0.1,0.15
51,14.821,33.3305,5.791,0.366,0.216,0.37,2.08,0.027,0.09,0.16
60,14.765,33.337,5.74,0.322,0.193,0.38,2.11,0.038,0.2,0.23
70,14.692,33.336,5.7,0.242,0.147,0.41,2.24,0.058,0.42,0.31
75,14.609,33.3387,5.649,0.209,0.14,0.52,3.38,0.1,2.0,0.24
85,13.363,33.2554,5.228,0.144,0.126,0.73,5.65,0.194,5.15,0.11
100,11.223,33.2605,4.517,0.115,0.128,1.15,10.99,0.05,12.1,0.0
101,11.067,33.2543,4.58,0.113,0.128,1.18,11.35,0.039,12.58,0.0
121,10.08,33.4431,3.976,0.036,0.056,1.52,17.51,0.025,18.11,0.02
125,10.054,33.489,3.88,0.031,0.053,1.55,18.22,0.02,18.6,0.0
140,9.619,33.5585,3.664,0.014,0.04,1.66,20.89,0.019,20.58,0.0
150,9.397,33.635,3.539,0.011,0.035,1.73,22.67,0.02,21.6,0.0
171,9.241,33.766,3.132,0.004,0.026,1.87,26.4,0.018,23.81,0.0
200,8.791,33.9532,2.594,0.002,0.03,2.08,32.64,0.02,26.8,0.0
203,8.752,33.9599,2.52,0.002,0.03,2.1,33.29,0.016,27.08,0.0
0,15.153,33.3165,5.765,0.279,0.087,0.31,1.98,0.018,0.0,0.0
2,15.153,33.3165,5.765,0.279,0.087,0.31,1.98,0.018,0.0,0.0
8,15.066,33.3173,5.793,0.309,0.104,0.32,1.98,0.012,0.03,0.0
10,15.008,33.3197,5.805,0.319,0.107,0.32,1.99,0.01,0.0,0.0
14,14.996,33.32,5.788,0.34,0.113,0.32,2.0,0.006,0.0,0.0
20,14.822,33.344,5.824,0.405,0.14,0.33,2.11,0.014,0.03,0.0
26,14.761,33.3579,5.845,0.499,0.182,0.35,2.24,0.019,0.08,0.02
30,14.704,33.3615,5.84,0.482,0.217,0.36,2.34,0.03,0.2,0.08
33,14.639,33.3601,5.786,0.469,0.244,0.37,2.42,0.038,0.3,0.12
44,14.448,33.363,5.641,0.322,0.214,0.44,2.76,0.114,1.0,0.36
50,14.197,33.358,5.532,0.243,0.172,0.53,3.61,0.2,2.2,0.3
53,14.025,33.3489,5.433,0.204,0.151,0.57,4.03,0.247,2.83,0.27
62,12.716,33.2933,5.023,0.157,0.13,0.83,7.14,0.222,7.11,0.0
68,11.885,33.263,4.641,0.108,0.119,1.09,10.37,0.068,11.33,0.0
75,10.948,33.3117,4.362,0.084,0.103,1.21,12.36,0.05,13.4,0.0
85,10.315,33.3579,4.197,0.049,0.079,1.39,15.21,0.028,16.32,0.0
100,9.614,33.5018,3.858,0.018,0.058,1.6,19.43,0.02,19.7,0.0
101,9.582,33.4977,3.85,0.016,0.057,1.61,19.71,0.022,19.96,0.0
120,9.24,33.6152,3.703,0.01,0.029,1.68,22.38,0.022,21.56,0.0
125,9.181,33.6596,3.62,0.009,0.032,1.71,23.04,0.02,22.0,0.0
139,9.073,33.7012,3.427,0.005,0.039,1.79,24.87,0.018,23.09,0.0
150,8.901,33.8112,3.338,0.004,0.034,1.83,26.66,0.02,23.8,0.0
170,8.65,33.8872,3.17,0.003,0.026,1.89,29.92,0.02,25.1,0.0
200,8.233,33.9689,2.883,0.001,0.026,2.01,34.82,0.02,27.0,0.0
201,8.238,33.9675,2.876,0.001,0.026,2.01,34.98,0.015,27.05,0.0
0,16.136,33.2057,5.663,0.124,0.043,0.28,1.82,0.01,0.04,0.13
1,16.136,33.2057,5.663,0.124,0.043,0.28,1.82,0.01,0.04,0.13
10,16.123,33.1996,5.648,0.123,0.04,0.3,1.78,0.009,0.03,0.21
20,16.123,33.271,5.637,0.134,0.039,0.3,1.84,0.01,0.0,0.12
25,16.149,33.288,5.63,0.139,0.038,0.3,1.87,0.008,0.03,0.08
30,16.159,33.2963,5.639,0.145,0.042,0.3,1.86,0.01,0.0,0.06
40,16.155,33.2992,5.623,0.157,0.05,0.29,1.85,0.009,0.0,0.02
50,16.043,33.2892,5.618,0.199,0.078,0.29,1.86,0.009,0.0,0.01
62,15.861,33.2865,5.598,0.262,0.114,0.31,1.89,0.036,0.0,0.07
75,15.548,33.3023,5.599,0.191,0.09,0.34,1.97,0.06,0.1,0.18
77,15.522,33.2986,5.594,0.18,0.086,0.34,1.98,0.059,0.08,0.2
87,15.248,33.2884,5.592,0.246,0.103,0.31,1.9,0.046,0.0,0.08
100,13.736,33.1678,5.477,0.165,0.122,0.52,3.79,0.113,2.35,0.06
111,12.303,33.1513,5.21,0.115,0.104,0.73,6.25,0.027,5.86,0.0
125,10.658,33.1938,4.865,0.054,0.065,1.11,10.8,0.019,12.0,0.0
140,9.97,33.3124,4.467,0.035,0.042,1.36,14.77,0.016,16.04,0.0
150,9.718,33.3902,4.364,0.025,0.039,1.49,17.7,0.01,18.2,0.0
169,9.318,33.6318,3.475,0.005,0.032,1.75,23.28,0.012,22.27,0.03
200,8.974,33.771,3.122,0.002,0.018,1.89,26.93,0.011,24.39,0.07
0,16.447,33.231,5.606,0.117,0.037,0.3,1.91,0.013,0.07,0.08
2,16.447,33.231,5.606,0.117,0.037,0.3,1.91,0.013,0.07,0.08
10,16.451,33.2337,5.615,0.114,0.043,0.29,1.89,0.011,0.0,0.05
20,16.429,33.2338,5.624,0.129,0.064,0.35,1.88,0.0,0.0,0.19
25,16.401,33.2329,5.596,0.136,0.075,0.38,1.87,0.0,0.0,0.26
30,16.4,33.2367,5.615,0.147,0.082,0.36,1.86,0.0,0.0,0.23
39,16.409,33.2388,5.598,0.166,0.094,0.32,1.83,0.0,0.0,0.18
50,16.36,33.2402,5.616,0.159,0.074,0.29,1.85,0.0,0.05,0.1
61,16.352,33.2511,5.61,0.175,0.079,0.27,1.82,0.0,0.0,0.0
75,16.295,33.2435,5.588,0.23,0.114,0.32,1.66,0.0,0.0,0.13
87,15.367,33.2274,5.558,0.202,0.108,0.32,2.07,0.168,0.17,0.06
99,13.632,33.1172,5.478,0.146,0.128,0.5,3.87,0.063,2.36,0.04
100,13.61,33.1196,5.472,0.144,0.128,0.52,4.03,0.06,2.6,0.05
111,12.452,33.0944,5.284,0.117,0.129,0.72,5.73,0.032,5.22,0.18
125,11.425,33.1241,5.041,0.094,0.094,0.9,7.92,0.03,8.7,0.0
126,11.441,33.1201,5.056,0.092,0.092,0.91,8.08,0.032,9.0,0.0
139,10.564,33.1784,4.812,0.066,0.081,1.14,10.73,0.022,12.47,0.1
150,10.085,33.3279,4.5,0.045,0.061,1.3,14.02,0.03,15.1,0.1
169,9.4,33.5375,4.025,0.008,0.026,1.57,19.7,0.035,19.76,0.1
200,8.936,33.7402,3.488,0.002,0.016,1.79,25.14,0.038,23.29,0.16
0,16.208,33.184,5.68,0.1,0.027,0.4,2.52,0.036,0.06,0.07
2,16.208,33.184,5.68,0.1,0.027,0.4,2.52,0.036,0.06,0.07
10,16.187,33.161,5.659,0.096,0.027,0.31,1.92,0.01,0.0,0.0
11,16.18,33.1591,5.655,0.095,0.027,0.3,1.85,0.012,0.0,0.0
20,16.041,33.1617,5.665,0.103,0.036,0.29,1.89,0.01,0.0,0.0
26,16.004,33.1583,5.659,0.108,0.042,0.28,1.92,0.014,0.0,0.0
30,15.967,33.1534,5.66,0.117,0.049,0.28,1.92,0.01,0.0,0.0
41,15.915,33.1468,5.66,0.141,0.067,0.28,1.91,0.015,0.0,0.0
50,15.93,33.1527,5.642,0.181,0.106,0.28,1.91,0.015,0.0,0.0
63,15.853,33.1687,5.644,0.234,0.111,0.3,2.04,0.042,0.0,0.0
75,15.088,33.1508,5.6,0.26,0.151,0.37,2.46,0.304,0.31,0.01
88,14.086,33.1034,5.589,0.192,0.176,0.44,3.42,0.179,1.34,0.0
100,14.017,33.3788,5.276,0.169,0.13,0.46,4.2,0.09,2.0,0.0
101,13.831,33.3809,5.332,0.167,0.126,0.46,4.26,0.08,2.05,0.07
113,12.4,33.1754,5.238,0.131,0.101,0.71,6.3,0.031,5.72,0.0
125,11.545,33.2224,5.118,0.081,0.096,0.86,7.83,0.025,8.23,0.0
140,10.349,33.2373,4.756,0.046,0.065,1.2,12.33,0.021,13.88,0.0
150,9.985,33.2961,4.553,0.035,0.053,1.32,14.76,0.02,15.9,0.0
170,9.506,33.4983,3.983,0.012,0.028,1.57,19.61,0.018,19.91,0.0
200,8.937,33.783,3.555,0.001,0.017,1.76,25.93,0.014,23.44,0.0
0,15.275,33.5391,5.827,2.374,0.583,0.55,2.61,0.186,1.41,0.86
2,15.275,33.5391,5.827,2.374,0.583,0.55,2.61,0.186,1.41,0.86
5,15.276,33.5389,5.918,2.39,0.662,0.54,2.63,0.185,1.42,0.9
10,15.276,33.5391,5.896,2.317,0.624,0.52,2.6,0.187,1.41,0.78
20,15.197,33.5423,5.913,1.867,0.511,0.56,2.82,0.195,1.51,1.04
0,15.168,33.281,5.986,3.178,0.517,0.44,2.3,0.102,0.53,0.12
2,15.168,33.281,5.986,3.178,0.517,0.44,2.3,0.102,0.53,0.12
4,15.168,33.279,6.002,2.996,0.775,0.48,2.29,0.102,0.55,0.3
10,15.189,33.3048,5.903,2.969,0.791,0.43,2.14,0.106,0.56,0.14
16,15.403,33.5115,5.372,2.107,0.68,0.56,2.44,0.172,0.86,1.39
20,15.474,33.5766,5.064,1.444,1.067,0.65,3.26,0.217,1.15,1.68
0,15.835,33.576,5.673,1.257,0.297,0.43,3.14,0.119,0.5,0.26
2,15.835,33.576,5.673,1.257,0.297,0.43,3.14,0.119,0.5,0.26
5,15.818,33.5687,5.655,1.205,0.263,0.42,3.21,0.124,0.5,0.16
10,15.735,33.5601,5.613,1.305,0.352,0.44,3.4,0.145,0.7,0.31
19,15.721,33.5589,5.443,1.295,0.354,0.5,3.79,0.205,1.19,0.75
0,15.868,33.5686,5.664,1.274,0.237,0.44,3.26,0.105,0.33,0.05
1,15.868,33.5686,5.664,1.274,0.237,0.44,3.26,0.105,0.33,0.05
5,15.799,33.5663,5.656,1.195,0.254,0.44,3.25,0.106,0.33,0.04
10,15.721,33.5666,5.63,1.353,0.37,0.43,3.24,0.108,0.35,0.04
20,15.737,33.584,5.567,1.182,0.356,0.45,3.3,0.117,0.42,0.1
30,15.609,33.6051,5.223,0.263,0.189,0.58,4.69,0.401,1.47,0.56
40,15.563,33.6031,5.164,0.243,0.197,0.6,4.84,0.469,1.84,0.43
50,15.474,33.6035,5.115,0.214,0.196,0.63,4.69,0.535,2.13,0.54
53,15.361,33.5958,5.067,0.217,0.217,0.69,5.02,0.521,2.68,0.75
0,15.934,33.6071,5.597,0.973,0.427,0.41,3.04,0.054,0.15,0.04
2,15.934,33.6071,5.597,0.973,0.427,0.41,3.04,0.054,0.15,0.04
10,15.933,33.6087,5.602,1.008,0.394,0.43,3.05,0.06,0.2,0.12
11,15.932,33.6092,5.592,1.012,0.39,0.43,3.05,0.057,0.17,0.13
14,15.935,33.6076,5.594,0.904,0.387,0.42,3.04,0.055,0.17,0.04
20,15.933,33.6086,5.601,0.914,0.406,0.41,3.06,0.06,0.2,0.03
24,15.928,33.6064,5.575,0.921,0.418,0.41,3.08,0.058,0.2,0.03
30,15.927,33.6075,5.578,0.879,0.363,0.42,3.1,0.07,0.2,0.05
34,15.91,33.6034,5.548,0.851,0.327,0.42,3.11,0.078,0.27,0.07
44,15.803,33.5881,5.438,0.438,0.254,0.49,3.48,0.174,0.82,0.22
48,15.717,33.5822,5.383,0.37,0.246,0.5,3.71,0.212,0.9,0.25
50,15.629,33.5756,5.271,0.34,0.25,0.54,4.05,0.27,1.4,0.19
54,15.478,33.562,5.114,0.28,0.259,0.62,4.74,0.371,2.46,0.08
61,14.787,33.5225,4.681,0.19,0.17,0.81,6.73,0.266,5.28,0.0
70,14.016,33.5225,4.091,0.134,0.196,1.09,9.61,0.063,9.2,0.0
75,13.825,33.5351,3.992,0.122,0.181,1.15,10.26,0.06,10.0,0.0
85,13.2,33.5508,3.747,0.099,0.151,1.28,11.57,0.045,11.61,0.5
100,12.607,33.7103,3.094,0.047,0.113,1.51,15.1,0.04,15.1,0.0
101,12.803,33.6895,3.14,0.043,0.11,1.52,15.34,0.04,15.36,0.0
120,11.768,33.7444,2.871,0.02,0.086,1.7,18.53,0.083,18.55,0.0
125,11.719,33.7835,2.774,0.018,0.077,1.75,19.4,0.07,19.2,0.0
141,11.104,33.8723,2.547,0.01,0.047,1.89,22.18,0.02,21.11,0.0
150,11.004,33.9484,2.405,0.008,0.046,1.97,23.88,0.02,22.1,0.0
169,10.768,34.071,1.979,0.003,0.045,2.15,27.46,0.016,24.17,0.0
200,10.249,34.1821,1.652,0.003,0.043,2.31,31.8,0.02,26.2,0.0
201,10.231,34.1793,1.662,0.003,0.043,2.31,31.94,0.015,26.23,0.0
0,16.226,33.6116,5.55,0.787,0.274,0.39,3.11,0.04,0.17,0.0
2,16.226,33.6116,5.55,0.787,0.274,0.39,3.11,0.04,0.17,0.0
10,16.228,33.6084,5.546,0.789,0.279,0.41,3.11,0.041,0.21,0.27
20,16.219,33.6078,5.544,0.749,0.277,0.4,3.12,0.042,0.2,0.19
30,16.223,33.6086,5.555,0.784,0.27,0.4,3.13,0.042,0.2,0.15
40,16.138,33.5972,5.514,0.745,0.255,0.41,3.16,0.054,0.32,0.08
50,15.903,33.5773,5.567,0.733,0.266,0.43,3.13,0.056,0.42,0.17
61,15.467,33.5555,5.436,0.506,0.218,0.48,3.57,0.111,1.09,0.25
70,13.174,33.2394,4.928,0.11,0.159,0.88,6.84,0.064,6.77,0.2
75,12.61,33.2477,4.848,0.098,0.144,0.96,7.91,0.06,8.2,0.14
85,12.239,33.3092,4.494,0.075,0.114,1.13,10.06,0.037,10.94,0.01
100,12.57,33.6896,3.168,0.031,0.075,1.51,15.27,0.03,15.4,0.01
101,12.521,33.6858,3.142,0.028,0.072,1.53,15.62,0.028,15.68,0.01
120,11.68,33.8106,2.779,0.017,0.059,1.77,19.83,0.021,19.28,0.0
125,11.576,33.8361,2.609,0.016,0.057,1.81,20.57,0.02,19.8,0.0
141,11.188,33.9041,2.424,0.011,0.049,1.93,22.95,0.019,21.56,0.01
150,11.016,33.9201,2.409,0.009,0.045,2.01,24.73,0.02,22.5,0.0
170,10.55,34.0877,1.942,0.005,0.037,2.18,28.68,0.018,24.66,0.0
0,15.842,33.5659,5.662,0.839,0.254,0.39,3.19,0.043,0.28,0.09
1,15.842,33.5659,5.662,0.839,0.254,0.39,3.19,0.043,0.28,0.09
10,15.852,33.5649,5.596,0.852,0.3,0.37,3.22,0.05,0.3,0.05
11,15.856,33.5655,5.637,0.853,0.305,0.37,3.22,0.053,0.31,0.04
20,15.856,33.5642,5.584,0.811,0.28,0.38,3.18,0.04,0.3,0.07
21,15.858,33.5633,5.588,0.806,0.277,0.38,3.18,0.041,0.31,0.07
30,15.855,33.5645,5.583,0.799,0.293,0.36,3.16,0.04,0.3,0.04
31,15.855,33.5637,5.591,0.798,0.295,0.36,3.16,0.041,0.29,0.04
41,15.856,33.5627,5.58,0.779,0.281,0.37,3.17,0.044,0.32,0.05
50,15.828,33.5603,5.572,0.762,0.287,0.38,3.11,0.05,0.3,0.22
51,15.791,33.5599,5.581,0.76,0.288,0.38,3.1,0.046,0.32,0.24
61,14.9,33.4848,5.644,0.409,0.309,0.42,2.87,0.088,0.56,0.38
70,14.191,33.4032,5.057,0.208,0.188,0.69,6.07,0.207,4.88,0.09
75,13.615,33.3659,4.784,0.169,0.173,0.83,7.63,0.15,6.9,0.0
86,12.876,33.4697,4.023,0.082,0.141,1.14,11.05,0.036,11.45,0.0
100,12.194,33.5809,3.565,0.044,0.101,1.35,14.13,0.025,14.74,0.0
121,11.756,33.7181,3.075,0.03,0.098,1.55,17.49,0.032,17.66,0.0
125,11.557,33.7447,2.993,0.027,0.09,1.6,18.46,0.03,18.4,0.0
141,11.069,33.8679,2.592,0.013,0.06,1.79,22.33,0.012,21.28,0.0
150,10.968,33.9283,2.41,0.012,0.06,1.84,23.33,0.01,21.9,0.0
171,10.813,33.9896,2.226,0.008,0.059,1.95,25.65,0.014,23.3,0.0
200,10.386,34.1805,1.64,0.003,0.052,2.18,30.97,0.01,25.8,0.0
203,10.341,34.1784,1.634,0.003,0.051,2.2,31.52,0.011,26.1,0.0
0,15.702,33.5282,5.778,0.773,0.275,0.37,2.57,0.014,0.03,0.06
1,15.702,33.5282,5.778,0.773,0.275,0.37,2.57,0.014,0.03,0.06
10,15.695,33.5288,5.784,0.762,0.256,0.37,2.54,0.013,0.0,0.0
19,15.626,33.5251,5.743,0.965,0.411,0.38,2.53,0.016,0.05,0.21
20,15.611,33.5183,5.757,0.958,0.413,0.38,2.54,0.02,0.1,0.22
30,15.379,33.4925,5.691,0.891,0.432,0.4,2.6,0.037,0.16,0.37
39,15.062,33.4718,5.554,0.536,0.341,0.48,3.22,0.134,1.06,0.35
50,14.596,33.464,5.356,0.374,0.286,0.59,4.47,0.28,2.73,0.34
60,13.306,33.4221,5.035,0.168,0.226,0.79,6.83,0.322,5.83,0.08
70,12.739,33.3668,4.725,0.116,0.169,0.99,8.98,0.131,8.99,0.27
75,12.17,33.3616,4.622,0.096,0.15,1.09,10.24,0.1,10.7,0.18
84,11.308,33.3787,4.257,0.061,0.117,1.27,12.52,0.032,13.81,0.03
100,10.983,33.4513,3.967,0.038,0.096,1.39,14.43,0.02,15.5,0.24
101,11.127,33.4551,4.02,0.037,0.095,1.4,14.55,0.024,15.62,0.25
120,10.943,33.804,2.835,0.012,0.079,1.78,20.98,0.015,20.44,0.0
125,10.724,33.8552,2.757,0.011,0.072,1.82,21.72,0.01,20.9,0.0
138,10.683,33.8993,2.567,0.007,0.054,1.92,23.65,0.014,22.17,0.01
150,10.609,34.0058,2.275,0.006,0.05,2.01,25.62,0.01,23.2,0.01
171,10.315,34.0897,1.98,0.003,0.043,2.17,29.08,0.013,25.02,0.02
199,8.901,33.9931,2.423,0.002,0.04,2.11,33.01,0.013,27.07,0.0
0,15.114,33.4547,5.838,0.843,0.256,0.62,2.24,0.06,0.44,11.29
2,15.114,33.4547,5.838,0.843,0.256,0.62,2.24,0.06,0.44,11.29
10,14.914,33.4844,5.909,0.956,0.351,0.46,1.9,0.046,0.33,1.11
20,14.831,33.4852,5.863,1.13,0.622,0.44,1.89,0.054,0.33,0.76
30,14.572,33.4428,5.588,0.716,0.327,0.51,3.59,0.132,1.81,0.28
40,14.571,33.4622,5.549,0.631,0.29,0.59,3.8,0.127,2.04,1.2
50,14.446,33.476,5.427,0.444,0.237,0.61,4.43,0.173,2.7,0.67
60,14.16,33.4757,5.298,0.326,0.201,0.68,5.13,0.195,3.57,1.73
70,13.481,33.4837,4.726,0.194,0.161,0.99,7.97,0.199,7.29,0.79
75,13.365,33.4989,4.565,0.161,0.155,1.09,9.56,0.15,9.4,0.58
85,11.436,33.3804,4.262,0.094,0.143,1.28,12.74,0.053,13.67,0.16
100,11.348,33.575,3.606,0.051,0.105,1.55,16.53,0.037,16.67,0.85
120,10.77,33.693,3.196,0.028,0.085,1.67,19.78,0.031,19.29,0.28
125,10.724,33.7486,3.062,0.026,0.088,1.77,20.44,0.03,19.7,1.21
140,10.579,33.7795,2.925,0.02,0.095,2.06,22.43,0.022,21.05,3.98
150,10.419,33.8603,2.72,0.017,0.087,2.08,24.25,0.02,22.2,3.38
170,9.791,33.8947,2.656,0.011,0.07,2.11,27.9,0.021,24.44,2.18
200,9.291,34.0383,2.186,0.005,0.059,2.19,33.29,0.022,26.9,0.0
0,15.19,33.3456,5.764,0.426,0.136,0.34,2.17,0.02,0.06,0.09
2,15.19,33.3456,5.764,0.426,0.136,0.34,2.17,0.02,0.06,0.09
8,15.167,33.3464,5.764,0.423,0.128,0.33,2.13,0.02,0.09,0.1
10,15.158,33.3471,5.778,0.42,0.132,0.33,2.13,0.02,0.1,0.0
16,15.147,33.3453,5.762,0.409,0.142,0.32,2.13,0.018,0.05,0.0
20,15.145,33.347,5.762,0.441,0.142,0.32,2.12,0.02,0.1,0.0
22,15.145,33.3451,5.75,0.457,0.142,0.32,2.11,0.019,0.05,0.0
30,15.112,33.3454,5.776,0.481,0.157,0.34,2.14,0.02,0.1,0.0
38,15.094,33.3427,5.768,0.505,0.171,0.35,2.16,0.018,0.06,0.0
49,15.002,33.3424,5.765,0.582,0.243,0.36,2.2,0.019,0.07,0.15
50,15.004,33.3449,5.767,0.579,0.246,0.36,2.21,0.02,0.1,0.14
59,14.982,33.3441,5.739,0.549,0.27,0.35,2.25,0.03,0.16,0.03
69,14.896,33.3674,5.69,0.421,0.253,0.41,2.7,0.075,0.62,0.15
75,14.678,33.3948,5.59,0.322,0.19,0.46,3.14,0.14,1.1,0.2
77,14.596,33.3918,5.595,0.289,0.169,0.47,3.28,0.156,1.29,0.21
89,13.799,33.4535,5.34,0.176,0.147,0.63,5.18,0.262,3.4,0.17
100,12.058,33.3471,4.533,0.077,0.116,1.12,10.79,0.082,11.41,0.0
120,10.2,33.4453,4.01,0.044,0.078,1.48,16.42,0.03,17.46,0.22
125,10.186,33.4846,3.949,0.037,0.071,1.54,17.67,0.03,18.3,0.18
140,9.78,33.6327,3.531,0.015,0.05,1.7,21.4,0.02,21.0,0.04
150,9.708,33.6897,3.413,0.011,0.048,1.77,23.24,0.02,22.1,0.0
171,9.361,33.8369,2.95,0.004,0.045,1.92,27.11,0.019,24.32,0.0
200,9.178,33.9271,2.676,0.003,0.037,2.03,29.96,0.02,25.6,0.0
202,9.17,33.9268,2.669,0.003,0.036,2.04,30.16,0.018,25.73,0.01
0,15.769,33.3486,5.667,0.219,0.064,0.32,2.0,0.012,0.06,0.04
2,15.769,33.3486,5.667,0.219,0.064,0.32,2.0,0.012,0.06,0.04
10,15.762,33.3481,5.677,0.23,0.071,0.31,1.98,0.009,0.05,0.0
20,15.761,33.349,5.678,0.236,0.065,0.32,1.99,0.01,0.0,0.0
26,15.739,33.3471,5.667,0.24,0.061,0.32,1.99,0.009,0.04,0.0
30,15.735,33.3475,5.681,0.257,0.07,0.32,1.99,0.01,0.0,0.0
40,15.706,33.3452,5.662,0.298,0.094,0.32,2.0,0.007,0.03,0.0
50,15.677,33.3434,5.657,0.339,0.1,0.32,1.98,0.01,0.05,0.0
62,15.649,33.3423,5.652,0.295,0.12,0.33,2.0,0.013,0.06,0.04
75,15.63,33.3425,5.627,0.262,0.121,0.33,2.07,0.02,0.1,0.06
76,15.631,33.3409,5.636,0.259,0.121,0.33,2.08,0.018,0.1,0.06
87,15.112,33.3005,5.523,0.145,0.075,0.42,2.93,0.076,1.3,0.09
100,14.3,33.2678,5.416,0.115,0.076,0.54,3.92,0.12,2.7,0.06
101,14.123,33.2557,5.416,0.113,0.076,0.55,4.0,0.123,2.79,0.06
111,12.119,33.1767,5.045,0.1,0.1,0.9,7.55,0.049,8.01,0.0
124,11.429,33.1981,4.875,0.094,0.093,1.07,9.69,0.037,10.85,0.0
125,11.335,33.2186,4.842,0.09,0.09,1.1,10.14,0.04,11.3,0.0
140,9.951,33.3869,4.147,0.036,0.05,1.5,16.92,0.022,18.04,0.0
150,9.619,33.4839,3.973,0.027,0.043,1.59,19.21,0.02,19.6,0.0
174,9.213,33.6888,3.363,0.005,0.025,1.82,24.72,0.017,23.41,0.0
200,8.772,33.8873,2.872,0.002,0.02,2.02,30.6,0.02,26.5,0.0
202,8.748,33.8918,2.813,0.002,0.02,2.04,31.05,0.016,26.77,0.0
0,15.824,33.3294,5.685,0.188,0.052,0.32,1.87,0.007,0.05,0.08
1,15.824,33.3294,5.685,0.188,0.052,0.32,1.87,0.007,0.05,0.08
10,15.746,33.331,5.687,0.182,0.054,0.32,1.87,0.007,0.08,0.16
20,15.731,33.3311,5.683,0.194,0.057,0.3,1.87,0.005,0.05,0.01
30,15.693,33.3309,5.679,0.21,0.069,0.3,1.88,0.007,0.05,0.04
40,15.673,33.3325,5.686,0.241,0.08,0.3,1.88,0.004,0.06,0.0
49,15.584,33.3278,5.704,0.316,0.168,0.31,1.87,0.008,0.05,0.02
50,15.566,33.3276,5.68,0.311,0.164,0.31,1.91,0.02,0.1,0.03
60,15.093,33.2928,5.592,0.26,0.129,0.36,2.26,0.098,0.48,0.11
70,14.337,33.2314,5.457,0.225,0.133,0.48,3.41,0.217,1.84,0.02
75,13.511,33.1975,5.21,0.201,0.141,0.62,4.75,0.16,3.9,0.02
84,12.334,33.1617,5.081,0.157,0.155,0.87,7.16,0.044,7.52,0.02
99,10.58,33.2384,4.649,0.098,0.105,1.19,11.5,0.024,12.87,0.0
100,10.522,33.2693,4.587,0.095,0.102,1.2,11.74,0.02,13.1,0.0
119,9.792,33.3662,4.308,0.034,0.051,1.43,16.2,0.013,16.97,0.0
125,9.645,33.4433,4.239,0.028,0.046,1.48,17.39,0.01,17.8,0.0
140,9.367,33.5498,3.906,0.013,0.033,1.6,20.37,0.01,19.84,0.0
150,9.272,33.6322,3.729,0.009,0.029,1.7,22.66,0.01,21.3,0.0
170,9.009,33.7844,3.091,0.002,0.021,1.9,27.24,0.009,24.17,0.02
200,8.61,33.9131,2.778,0.002,0.018,2.02,31.73,0.009,26.2,0.0
0,16.062,33.3326,5.654,0.139,0.032,0.29,1.87,0.01,0.0,0.0
2,16.062,33.3326,5.654,0.139,0.032,0.29,1.87,0.01,0.0,0.0
10,15.962,33.3277,5.663,0.14,0.037,0.29,1.86,0.011,0.0,0.0
20,15.907,33.3311,5.676,0.139,0.038,0.29,1.85,0.01,0.0,0.0
25,15.892,33.3252,5.652,0.139,0.039,0.29,1.84,0.008,0.0,0.0
30,15.881,33.3291,5.674,0.162,0.047,0.29,1.84,0.01,0.0,0.0
40,15.854,33.3253,5.652,0.207,0.064,0.29,1.83,0.011,0.0,0.0
50,15.829,33.3253,5.646,0.234,0.092,0.29,1.84,0.015,0.0,0.0
62,15.169,33.2968,5.599,0.291,0.123,0.34,2.21,0.082,0.31,0.0
75,13.753,33.2545,5.525,0.303,0.149,0.42,2.94,0.171,1.23,0.0
87,12.205,33.158,5.117,0.221,0.145,0.82,6.75,0.065,6.95,0.0
100,11.221,33.1986,4.764,0.15,0.13,1.07,9.73,0.032,11.28,0.0
112,10.578,33.2597,4.529,0.101,0.097,1.24,12.36,0.023,14.04,0.0
125,10.2,33.4064,4.002,0.05,0.06,1.45,16.17,0.02,17.5,0.0
126,10.18,33.403,4.012,0.046,0.057,1.47,16.46,0.02,17.8,0.0
140,9.681,33.5182,3.68,0.018,0.038,1.62,19.86,0.018,20.18,0.0
150,9.546,33.5918,3.585,0.013,0.034,1.68,21.61,0.02,21.2,0.0
169,9.172,33.7028,3.312,0.004,0.026,1.79,24.94,0.014,23.06,0.0
